Symbol,Target,Criteria,Strategy,TFrame,LatestQtr,StarStock,CumlRnk,Conviction,Category,Cyclical,XIRR,Remarks,MBQ,Reasoning
3MINDIA,50570.0,OX40N,ATH,D,1,0.0,135.0,H,MISC,NC,,,OX40N,Globally diversified company with exceptional management and strong moat across industries.
5PAISA,593.0,OX40N,NTT,W,1,0.0,170.0,H,FINANCE,NC,20.0,SD: V20 598,OX40N,Competitive discount brokerage with a growing market but limited profitability visibility.
AARTIIND,919.0,XR,NTT,W,1,0.0,232.0,M,CHEMICALS,SC,-8.0,,XR,Leading specialty chemical manufacturer with robust exports and consistent execution.
AAVAS,2328.0,XY24,NTT,W,1,1.0,213.0,M,FINANCE,NC,6.0,,XY24,Well-managed housing finance company with disciplined credit underwriting.
ABB,7934.0,AR,NTT,D,1,0.0,125.0,H,ELECTRICAL,SC,,,AR,
ABBOTINDIA,27500.0,X40,ATH,D,1,1.0,58.0,X,PHARMA,NC,,,X40,High-quality pharmaceutical company with strong ethical practices and brand presence.
ABSLAMC,615.0,XR,ATH,W,1,0.0,234.0,M,FINANCE,NC,47.0,,XR,Reputable asset manager benefiting from a growing mutual fund industry.
ACC,3906.0,XY24,BTT,D,1,1.0,85.0,X,CEMENT,DC,-37.0,,XY24/X40N,Strong player in the cement sector with operational excellence under Adani Group.
ADANIENT,,X5K,ATH,D,1,0.0,105.0,M,METALS,DC,,,X5K,
ADANIPORTS,1583.0,XY24,NTT,D,1,1.0,7.0,X,MISC,NC,,,XY24/X5K/X40N,Well-run port operator with scale advantages but concerns over capital allocation.
ADANIPOWER,,X5K,ATH,D,1,0.0,112.0,M,POWER,SC,,,X5K,
AETHER,,XR,ATH,D,1,1.0,244.0,M,CHEMICALS,SC,,,XR,Growing specialty chemical firm with a solid product pipeline and scalability potential.
JSWDULUX,4500.0,XR,ATH,D,1,1.0,216.0,M,PAINTS,SC,,,OX40/XR,Reputable global paints player with a strong local market presence and brand equity.
ALKYLAMINE,2576.0,SR,ATH,D,1,0.0,142.0,H,CHEMICALS,SC,-59.0,SD: 2576,SR,Leading player in amines with a strong moat but faces cyclicality in demand.
ALOKINDS,,AR,ATH,W,1,0.0,260.0,L,TEXTILES,DC,,,AR,Demonstrates strong management solid business fundamentals in the textile and manufacturing sector and promising growth potential making it an attractive investment in the micro-cap space.
AMBUJACEM,733.0,XY24,BTT,W,1,0.0,113.0,M,CEMENT,DC,38.0,,XY24/X5K,Among the top cement players with strong cost controls now part of Adani Group.
ANGELONE,303.0,X40N,ATH,D,1,1.0,97.0,X,FINANCE,NC,77.0,VB: ATH by end of 2024 SD: 3444,X40N,Leading retail stockbroker with strong digital capabilities but competitive industry dynamics.
APEX,314.0,AR,ATH,W,1,0.0,270.0,L,MISC,NC,-9.0,,AR,Emerging pharma company with growth potential but lacks a significant competitive edge.
APLLTD,,XR,ATH,W,1,0.0,226.0,M,PHARMA,NC,,,XR,Trusted pharma company with a growing domestic and international market presence.
APOLLOHOSP,8285.0,X40N,ATH,D,1,1.0,6.0,X,HEALTHCARE,NC,,,X40N,Premier hospital chain with strong management and leadership in healthcare services.
ARE&M,1066.0,X200,ATH,W,1,0.0,263.0,L,AUTO,DC,85.0,,X200,Industrial engineering firm with moderate management and growth prospects.
ARVINDFASN,,XR,ATH,D,1,0.0,271.0,L,MISC,NC,,,XR,Retail-focused business with a growing portfolio but faces margin and competition pressures.
ASIANPAINT,4250.0,X40,ATH,D,1,1.0,30.0,X,PAINTS,SC,-18.0,,X40,Market leader in decorative paints with exceptional brand recognition and execution.
ASIANTILES,137.0,XR,NTT,W,1,0.0,269.0,L,CERAMICS,SC,-16.0,,XR,Tile manufacturer with consistent performance but limited scalability compared to peers.
ASTERDM,,X5K,ATH,D,1,0.0,245.0,M,HEALTHCARE,NC,,,X5K,
