Symbol,Target,Criteria,Strategy,TFrame,LatestQtr,StarStock,CumlRnk,Conviction,Category,InFolio,Cyclical,XIRR,Remarks,MBQ,Reasoning
3MINDIA,50570,OX40N,ATH,D,0,0,135,H,MISC,,NC,,,OX40N,Globally diversified company with exceptional management and strong moat across industries.
5PAISA,593,OX40N,NTT,W,1,0,170,H,FINANCE,1,NC,20,SD: V20 598,OX40N,Competitive discount brokerage with a growing market but limited profitability visibility.
AARTIIND,919,XR,NTT,W,1,0,232,M,CHEMICALS,,SC,-8,,XR,Leading specialty chemical manufacturer with robust exports and consistent execution.
AAVAS,2328,XY24,NTT,W,1,1,213,M,FINANCE,,NC,6,,XY24,Well-managed housing finance company with disciplined credit underwriting.
ABB,7934,AR,NTT,D,0,0,125,H,ELECTRICAL,,SC,,,AR,
ABBOTINDIA,27500,X40,ATH,D,1,1,58,X,PHARMA,1,NC,,,X40,High-quality pharmaceutical company with strong ethical practices and brand presence.
ABSLAMC,615,XR,ATH,W,0,0,234,M,FINANCE,,NC,47,,XR,Reputable asset manager benefiting from a growing mutual fund industry.
ACC,3906,XY24,BTT,D,0,0,85,X,CEMENT,1,DC,-37,,XY24/X40N,Strong player in the cement sector with operational excellence under Adani Group.
ADANIENT,,X5K,ATH,D,0,0,105,M,METALS,,DC,,,X5K,
ADANIPORTS,1583,XY24,NTT,D,1,1,7,X,MISC,,NC,,,XY24/X5K/X40N,Well-run port operator with scale advantages but concerns over capital allocation.
ADANIPOWER,,X5K,ATH,D,0,0,112,M,POWER,,SC,,,X5K,
AETHER,,XR,ATH,D,1,1,244,M,CHEMICALS,,SC,,,XR,Growing specialty chemical firm with a solid product pipeline and scalability potential.
JSWDULUX,4500,XR,ATH,D,1,1,216,M,PAINTS,,SC,,,OX40/XR,Reputable global paints player with a strong local market presence and brand equity.
ALKYLAMINE,2576,SR,ATH,D,0,0,142,H,CHEMICALS,1,SC,-59,SD: 2576,SR,Leading player in amines with a strong moat but faces cyclicality in demand.
ALOKINDS,,AR,ATH,W,1,0,260,L,TEXTILES,,DC,,,AR,Demonstrates strong management solid business fundamentals in the textile and manufacturing sector and promising growth potential making it an attractive investment in the micro-cap space.
AMBUJACEM,733,XY24,BTT,W,0,0,113,M,CEMENT,,DC,38,,XY24/X5K,Among the top cement players with strong cost controls now part of Adani Group.
ANGELONE,303,X40N,ATH,D,1,1,97,X,FINANCE,,NC,77,VB: ATH by end of 2024 SD: 3444,X40N,Leading retail stockbroker with strong digital capabilities but competitive industry dynamics.
APEX,314,AR,ATH,W,0,0,270,L,MISC,,NC,-9,,AR,Emerging pharma company with growth potential but lacks a significant competitive edge.
APLLTD,,XR,ATH,W,0,0,226,M,PHARMA,,NC,,,XR,Trusted pharma company with a growing domestic and international market presence.
APOLLOHOSP,8285,X40N,ATH,D,0,0,6,X,HEALTHCARE,,NC,,,X40N,Premier hospital chain with strong management and leadership in healthcare services.
ARE&M,1066,X200,ATH,W,0,0,263,L,AUTO,,DC,85,,X200,Industrial engineering firm with moderate management and growth prospects.
ARVINDFASN,,XR,ATH,D,0,0,271,L,MISC,,NC,,,XR,Retail-focused business with a growing portfolio but faces margin and competition pressures.
ASIANPAINT,4250,X40,ATH,D,1,0,30,X,PAINTS,1,SC,-18,,X40,Market leader in decorative paints with exceptional brand recognition and execution.
ASIANTILES,137,XR,NTT,W,0,0,269,L,CERAMICS,,SC,-16,,XR,Tile manufacturer with consistent performance but limited scalability compared to peers.
ASTERDM,,X5K,ATH,D,0,0,245,M,HEALTHCARE,,NC,,,X5K,
ASTRAL,,AR,ATH,D,0,0,131,H,PLASTICS,,SC,,,AR,Well-managed high-quality business with strong future growth prospects making it an excellent investment choice in the small-cap space.
ASTRAZEN,8410,X40N,ATH,W,0,0,94,X,PHARMA,,NC,,,X40N,Global pharma leader with a focus on innovation and a robust R&D pipeline.
ATULAUTO,844,XY24,NTT,D,0,0,248,M,AUTO,1,DC,-49,,XY24,Small-scale auto manufacturer facing scalability and competitive challenges.
AUBANK,,,,,0,0,198,M,BANKS,,NC,,,,Consistently growing small finance bank with strong asset quality and customer focus.
AUROPHARMA,,,,,0,0,196,M,PHARMA,,NC,,,,Well-known pharmaceutical company with a diverse portfolio but faces pricing pressures.
AVANTIFEED,615,XR,ATH,W,0,0,241,M,MISC,,NC,56,,XR,Leader in aquaculture feed with strong industry fundamentals but cyclical risks.
AWL,485,XY24,NTT,W,0,0,81,X,FMCG,1,NC,-36,SD: 488,XY24/X40N,Leading edible oil manufacturer with significant market share but subject to commodity risks.
AXISBANK,,X40,ATH,D,1,1,36,X,BANKS,,NC,,,X40/X5K,Improved governance under new leadership competitive private sector bank with robust growth.
BAJAJ-AUTO,,X40,ATH,D,0,0,23,X,AUTO,,DC,,,X40/X5K,Market leader in two-wheelers with strong export presence focused capital allocation.
BAJAJFINSV,2758,X40,BTT,D,1,1,17,X,FINANCE,,NC,11,,X40/X5K,Exceptional management with diversified financial services portfolio proven execution.
BAJAJHFL,152,X40N,ATH,D,0,0,60,X,FINANCE,1,NC,,,X40N,
BAJAJHIND,46,XR,ATH,W,0,0,272,L,SUGAR,,DC,431,,XR,Cyclical sugar business with limited pricing power and weak governance history.
BAJAJHLDNG,,X40,ATH,D,-1,0,28,X,FINANCE,1,NC,,,X40/X5K,Strong holding company with stakes in high-performing Bajaj group entities.
BAJFINANCE,1069,X40,BTT,D,1,1,19,X,FINANCE,,NC,19,,X40/X5K,Exemplary management and business model with industry-leading ROE and growth.
BALKRISIND,,XR,ATH,D,0,0,132,H,TYRES,,DC,,,XR,Niche player in off-highway tires with strong global presence and efficient operations.
BANDHANBNK,400,XY24,NTT,W,0,0,174,H,BANKS,1,NC,-29,,XY24,Strong microfinance focus but governance and asset quality concerns remain.
BANKBARODA,283,XR,NTT,W,1,1,116,M,BANKS,,NC,11,,XR/X5K,Improved operations post-merger but still faces challenges in governance and NPAs.
BANKINDIA,149,XR,NTT,W,1,1,133,H,BANKS,,NC,-12,SD: till 190,XR/X5K,Public sector bank with persistent challenges in credit discipline and operational efficiency.
BATAINDIA,2096,X40,NTT,D,0,0,91,X,FOOTWEAR,1,SC,-8,SD: till 1686,X40,Trusted footwear brand with strong market presence but faces competition from new entrants.
